,isbn10,authors
477,007222696X,Chris Prosise
478,0072920963,Lynne Ann DeSpelder
478,0072920963,Albert Lee Strickland
479,0075536390,Tacitus
480,0091883768,Spencer Johnson
481,0091894603,Edward De Bono
482,0091895812,Anthony McReavy
483,0091898242,Terry Pratchett
483,0091898242,Ian Stewart
483,0091898242,Jack Sidney Cohen
484,0099134012,John Grisham
485,009917331X,Richard Phillips Feynman
485,009917331X,Ralph Leighton
486,0099267543,Kurt Vonnegut
487,0099271494,Anne Rice
488,0099273845,David Malouf
489,0099273861,David Malouf
490,0099276496,Richard Russo
491,009928264X,Chuck Palahniuk
492,0099282968,Kurt Vonnegut
493,0099283220,Kurban Said
494,0099284480,Roddy Doyle
495,009928555X,William Styron
496,0099285568,William Styron
497,0099297701,Thomas Harris
498,009930791X,Philip Roth
499,0099339218,Ernest Hemingway
500,0099409968,Terry Brooks
500,0099409968,George Lucas
501,0099410354,Matthew Woodring Stover
502,0099410389,Troy Denning
503,0099421860,Salman Rushdie
504,0099422344,Joseph O'Connor
505,0099422689,Chuck Palahniuk
506,0099422697,Philip Roth
507,0099427869,Richard Bach
508,0099428164,Ha Jin
509,0099428636,Umberto Eco
510,0099428644,Franz Kafka
511,0099429160,Alice Hoffman
512,0099429799,Ian McEwan
513,0099432447,Russell Hoban
514,0099436744,Herbert Asbury
515,009943752X,Richard Russo
516,0099437597,Richard Brautigan
517,0099446723,Anne Rice
518,0099448467,Manuel Rivas
519,0099448475,Haruki Murakami
520,0099448572,Haruki Murakami
521,0099448750,Haruki Murakami
522,0099448769,Haruki Murakami
523,0099449897,Raymond Carver
524,0099453835,Richard Powers
525,0099456451,Joseph Delaney
526,0099458268,Sebastian Faulks
527,0099460173,Anne Rice
528,0099461099,Haruki Murakami
529,0099461269,Elizabeth Berg
530,0099462257,Karin Slaughter
531,0099468190,John Grisham
532,0099468646,Anthony Burgess
533,009947137X,Anne Rice
534,0099471434,Anne Rice
535,0099472635,Timothy Zahn
536,0099474123,Robin Norwood
537,0099474395,Georgette Heyer
538,0099474425,Georgette Heyer
539,0099474468,Georgette Heyer
540,0099474549,Sébastien Japrisot
541,0099476339,Georgette Heyer
542,0099476355,Georgette Heyer
543,0099477319,Joseph Heller
544,0099478390,Graham Greene
545,0099478420,Graham Greene
546,0099478447,Graham Greene
547,0099481243,Ian McEwan
548,0099481561,Ernest Hemingway
549,0099481685,John Grisham
550,0099489988,Marian Keyes
551,0099498588,Maeve Binchy
552,0099498596,Maeve Binchy
553,0099498634,Maeve Binchy
554,0099498669,Maeve Binchy
555,0099556316,Michael Crichton
556,0099578514,Salman Rushdie
557,0099582015,Philip Roth
558,0099595818,George Saunders
559,0099730510,Italo Calvino
560,0099748614,Martin Amis
561,0099766817,Alan Paton
562,0099771810,Philip Roth
563,0099801906,Philip Roth
564,0099910101,Ernest Hemingway
565,0099911701,Diana Gabaldon
566,009992840X,Don DeLillo
567,0130887013,James Edward Keogh
567,0130887013,John Shapley Gray
568,0131492020,Walter J. Savitch
569,0131494848,Gary A. Yukl
570,0131730363,Michael D. Lyman
570,0131730363,Gary W. Potter
571,0131816594,Heidi Hayes Jacobs
571,0131816594,Pearson Prentice Hall
571,0131816594,Kate Kinsella
571,0131816594,Michal L. LeVasseur
572,013187165X,Eric Chaisson
572,013187165X,Stephen McMillan
573,0131922165,Darlene Clark Hine
573,0131922165,William C. Hine
573,0131922165,Stanley Harrold
574,0131935070,Hugh Honour
574,0131935070,John Fleming
575,0132197383,Stephen Minot
576,013237045X,Frank M. Carrano
577,0132382458,Elliot Aronson
577,0132382458,Timothy D. Wilson
577,0132382458,Robin M. Akert
578,0140018328,Roald Dahl
579,0140030344,Iris Murdoch
580,0140041796,Roald Dahl
581,0140055770,Roald Dahl
582,0140065504,T. Coraghessan Boyle
583,0140105832,Patrick Süskind
584,0140110879,William T. Vollmann
585,0140115854,Paul Auster
586,0140118829,William S. Burroughs
587,0140119485,Don DeLillo
588,0140125051,Richard Phillips Feynman
589,0140128468,Irvin D. Yalom
590,0140131671,T. Coraghessan Boyle
591,0140135154,John Berger
591,0140135154,Sven Blomberg
591,0140135154,Chris Fox
591,0140135154,Michael Dibb
591,0140135154,Richard Hollis
592,0140137009,Emmanuel Le Roy Ladurie
593,0140137343,Michel Foucault
594,0140139397,Wallace Stegner
595,0140139400,Wallace Earle Stegner
595,0140139400,Wallace Stegner
596,0140139974,Ken Kesey
597,0140140824,Bill Buford
598,0140143459,Michael M. Lewis
599,0140143955,James Campbell
600,0140144188,John Steinbeck
601,0140150307,James Joyce
602,0140150749,Dorothy Parker
603,0140152741,Don DeLillo
604,0140153195,Lawrence Durrell
605,0140153225,Lawrence Durrell
606,0140154078,Paul Auster
607,0140156046,Don DeLillo
608,0140157182,Reinaldo Arenas
608,0140157182,Andrew Hurley
609,0140157514,Gabriel García Márquez
609,0140157514,Gregory Rabassa
610,0140158766,Robert Mason
611,0140159940,Wallace Stegner
612,0140159959,Ray Monk
613,0140177396,John Steinbeck
614,0140178139,Paul Auster
615,014017866X,Lyn MacDonald
616,014017897X,Michel de Montaigne
617,0140183957,Mulk Anand
618,014018533X,Graham Greene
619,0140186123,Graham Greene
620,0140187073,William Gaddis
621,0140188266,Shiva Naipaul
622,0140188924,Primo Levi
623,014018922X,Luigi Pirandello
624,0140189440,Saul Bellow
625,0140189645,Arthur Miller
626,0140189866,Georges Perec
627,0140191917,Arthur Koestler
628,0140191925,Arthur Koestler
629,0140192077,Richard Wilhelm
629,0140192077,Cary F. Baynes
630,0140193707,Georg Feuerstein
631,014019553X,Kahlil Gibran
631,014019553X,John Walbridge
632,0140230270,Jodi Picoult
633,0140231579,William T. Vollmann
634,0140234446,Jack Kerouac
634,0140234446,Ann Charters
635,0140236236,Pat Barker
636,0140237518,Jerome David Salinger
637,0140237534,Jerome David Salinger
638,014023828X,T. Coraghessan Boyle
639,0140244913,Steven Pinker
640,0140247726,Arthur Miller
641,0140247734,Gerald Clifford Weales
642,0140247742,James Joyce
642,0140247742,Robert Scholes
642,0140247742,A. Walton Litz
643,0140250913,Laurie Garrett
644,014025157X,Sue Birtwistle
644,014025157X,Susie Conklin
645,0140252622,Roddy Doyle
646,0140253807,Rachel Carson
647,0140255257,Deirdre Bair
648,0140259104,Tim O'Brien
649,0140260021,Roddy Doyle
650,0140260897,Gore Vidal
651,0140264922,Iris Murdoch
652,0140271570,Bryce Courtenay
653,0140271791,Marian Keyes
654,0140274219,Jean Rhys
655,0140275010,Mark Kurlansky
656,0140275657,J. M. Coetzee
657,0140276335,Zadie Smith
658,0140276343,Zadie Smith
659,0140276904,Jane Green
660,014027782X,Douglas Stone
660,014027782X,Bruce Patton
660,014027782X,Sheila Heen
661,0140278761,Gabriel García Márquez
661,0140278761,Gregory Rabassa
662,0140280464,Ruth L. Ozeki
663,0140280499,Edwidge Danticat
664,0140283358,J. M. Coetzee
665,0140283366,Franz Kafka
665,0140283366,Malcolm Pasley
666,0140284125,Pelham Grenville Wodehouse
667,0140285970,Robert Templer
668,0140286012,Rebecca Solnit
669,0140286276,Jacquelyn Mitchard
670,0140286373,Alan Hollinghurst
671,0140286802,Jorge Luis Borges
671,0140286802,Andrew Hurley
672,0140288481,Lan Samantha Chang
673,0140289232,Robert Irwin
674,0140295941,Jane Green
675,0140296034,Peter Mayle
676,0140296158,Jack Kerouac
676,0140296158,Ann Charters
677,0140297979,Frank Kermode
678,0140298517,Mark Kurlansky
679,0140299149,Stuart McLean
680,0140299939,T. Coraghessan Boyle
681,0140299947,T. Coraghessan Boyle
682,0140299963,T. Coraghessan Boyle
683,0140307370,Rumer Godden
684,0140309594,Astrid Lindgren
684,0140309594,Louis S. Glanzman
685,0140320431,Roald Dahl
686,0140322620,Terry Jones
686,0140322620,Michael Foreman
687,0140345825,William Sleator
688,0140363335,Barthe DeClements
689,0140364757,Barthe DeClements
690,0140366601,Quentin Blake
691,0140367357,Edith Nesbit
692,0140367438,E. Nesbit
693,0140383190,Jean Van Leeuwen
694,0140389660,S. E. Hinton
695,0140422153,William Blake
696,0140424385,Geoffrey Chaucer
697,0140430369,Horace Walpole
697,0140430369,William Beckford
697,0140430369,Mary Shelley
698,014043089X,Oscar Wilde
699,0140431055,Herman Melville
700,0140433392,Friedrich Nietzsche
701,0140435190,Thomas Hardy
702,0140436073,Wilkie Collins
703,0140436146,Charles Dickens
704,0140436324,Saint Thomas (Aquinas)
704,0140436324,Ralph McInerny
704,0140436324,Ralph M. McInerny
705,0140436588,Walter Scott
706,0140437509,Jerome Klapka Jerome
707,0140437851,Daniel Defoe
708,0140437916,George Bernard Shaw
709,0140437975,Stephen Crane
710,0140439056,Charles Dickens
711,0140440224,Geoffrey Chaucer
712,0140440461,Dante Alighieri
713,0140440933,Johann Goethe
714,0140441123,Aeschylus
714,0140441123,Philip Vellacott
715,0140441220,Jean Racine
716,0140441379,A. Hatto
717,0140441522,Aristophanes
718,0140441735,Denis Diderot
719,0140441794,Fiodor Mijaïlovich Dostoevskiï
719,0140441794,Fyodor Dostoyevsky
720,0140442057,Honore Balzac
721,0140442243,Ivan Turgenev
722,0140442324,Honore Balzac
723,0140442375,Honoré de Balzac
724,0140442413,Cornelius Tacitus
725,0140442529,Fyodor Dostoyevsky
726,014044257X,Francois Voltaire
727,0140442723,Arthur R. V. Cooper
728,0140442758,Plato
729,014044307X,Stendhal
730,0140443339,Aeschylus
731,0140443487,Confucius
732,0140443533,Victor Hugo
732,0140443533,John Sturrock
733,014044369X,Иван Сергеевич Тургенев
733,014044369X,Leonard Shapiro
734,0140443878,Émile Zola
735,0140443940,Aleksandr Sergeevich Pushkin
735,0140443940,Charles Johnston
736,0140444084,Geoffrey Chaucer
737,0140444300,Victor Hugo
737,0140444300,Norman Denny
738,0140444424,Dante Alighieri
739,0140444432,Dante Alighieri
740,0140445145,Friedrich Nietzsche
741,0140445226,Ivan Turgenev
742,0140445501,Francois Rabelais
742,0140445501,Michael Andrew Screech
743,0140445773,Soren Kierkegaard
744,0140446044,Michel Montaigne
745,0140446168,Plato
745,0140446168,Christopher Gill
746,0140446362,Aristotle
746,0140446362,Malcolm Heath
747,0140447202,Johann Goethe
748,0140447261,Euripides
748,0140447261,John N. Davie
748,0140447261,R. B. Rutherford
749,0140447601,Alexis Tocqueville
749,0140447601,Gerald Bevan
749,0140447601,Isaac Kramnick
750,0140447806,Boethius
750,0140447806,Victor Watts
751,014044789X,Ovid
751,014044789X,David Raeburn
752,0140447970,Gustave Flaubert
752,0140447970,Robert Baldick
752,0140447970,Geoffrey Wall
753,0140448004,Gustave Flaubert
753,0140448004,Roger Whitehouse
753,0140448004,Geoffrey Wall
754,0140448071,Nikolay Gogol
755,0140448144,Aristophanes
755,0140448144,Alan H. Sommerstein
756,0140448152,Jonathan Barnes
757,0140448926,Alexandre Dumas Pere
758,0140448942,Augustine
758,0140448942,Henry Scowcroft Bettenson
758,0140448942,Gillian Rosemary Evans
759,0140449086,Herodotus
760,0140449094,Miguel de Cervantes Saavedra
761,0140449124,Gustave Flaubert
761,0140449124,Geoffrey Wall
